Image_Path,Person_Name,Person_Label,Label,x1,x2,y1,y2
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/057,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/086,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/061,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/048,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/053,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/051,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/095,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/018,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/044,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/016,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/007,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/009,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/012,mrjo0,32,0,174,353,114,293
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/029,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/025,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/078,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/001,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/056,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/006,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/109,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/042,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/082,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/055,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/076,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/091,mrjo0,32,0,174,353,134,313
/kaggle/input/vidtimit-audiovideo-dataset/mrjo0/mrjo0/video/sx14/094,mrjo0,32,0,174,353,134,313
